DOC_R741_read.txt	4?04	yafeiede	lemneksz	?	0
DOC_R741_read.txt	13?9	ettitkon	demidolg	?	0
DOC_R741_read.txt	254?	tudnaidö	lisanelü	?	0
DOC_R741_read.txt	2?63	bilialta	gatamagy	?	0
DOC_R741_read.txt	29?5	ensegpre	lealkiny	?	0
DOC_R741_read.txt	263?	ssateszi	gatMagya	?	0
DOC_R741_read.txt	277?	nnyekafö	tihaiaho	?	0
DOC_R741_read.txt	???	aVezerne	akkoisbe	?	0
DOC_R741_read.txt	?53	atmarvae	zomegyne	?	0
DOC_R757_read.txt	5	mittalab	tükaMosk	et	0.8
DOC_R757_read.txt	9	nyPortae	viaestis	(null)	0.2
DOC_R757_read.txt	9	erpreset	viresolv	(null)	1.5
DOC_R757_read.txt	9	tumillas	vasdnu	za	0.3
DOC_R757_read.txt	3	svasdnu	hentera	(null)	0.5
DOC_R757_read.txt	8	vasdnu	henterad	(null)	0.5
DOC_R757_read.txt	4	tuso	veveliöt	ka	0.1
DOC_R757_read.txt	2	gehüsenk	benvadna	et	0.3
DOC_R757_read.txt	8?0	issioiök	irantafe	?	0
DOC_R757_read.txt	2	tafelelt	cztihaia	an	0.3
DOC_R757_read.txt	160	sessioia	kivülmer	na	0.8
DOC_R757_read.txt	1	assavalc	rertpon	ze	0.6
DOC_R757_read.txt	4	avalc	rertpond	ze	0.7
DOC_R765_read.txt	220	kilegyen	zatoezen	a	0.3
DOC_R765_read.txt	200	amintatö	utyenezL	rt	0.7
DOC_R765_read.txt	220	isnekünk	tisztaig	az	0.8
DOC_R765_read.txt	1	ünkmegle	dvanhog	ma	0.0
DOC_R765_read.txt	0	nkmegle	dvanhogy	ma	0.0
DOC_R765_read.txt	220	egengedi	hadfogad	ti	0.8
DOC_R765_read.txt	110	egrefele	tszinnte	me	0.3
DOC_R765_read.txt	220	mostirök	Kiralyna	na	2.0
DOC_R765_read.txt	220	llanaitt	vagyköny	at	0.3
DOC_R765_read.txt	120	nalhatna	azembere	gy	0.4
DOC_R765_read.txt	110	eezsmive	azközöns	l	0.3
DOC_R765_read.txt	4	nprelimi	ribusis	va	1.8
DOC_R765_read.txt	4	prelimi	ribusisa	va	1.8
DOC_R765_read.txt	120	usokmago	ravallol	ka	0.1
DOC_R765_read.txt	220	allolvan	mediatio	e	0.4
DOC_R765_read.txt	110	taccepta	tattanak	l	1.4
DOC_R765_read.txt	?2	sabutrin	evegrekö	?	0
DOC_R765_read.txt	110	azonalta	akarvanm	n	1.3
DOC_R765_read.txt	220	olytatty	megszüne	at	0.4
DOC_R765_read.txt	2?2	esnelkül	dakozasa	?	0
DOC_R765_read.txt	190	volttriu	fansfelf	(null)	0.0
DOC_R765_read.txt	?	musneuti	vamfacie	?	0
DOC_R765_read.txt	?	fieretnü	vonon	?	0
DOC_R765_read.txt	180	retnüvo	noncredo	nö	0.0
DOC_R765_read.txt	220	szüksegs	minister	em	1.0
