# group	value	grade: G = glossed by the contemporary decipherer (R9566 p3, R9569, R9571, R9589); X = gloss-aligned and confirmed in a second context; I = inferred here, unconfirmed
15	u	I
19	va	I
63	V.E.	G
86	,	G
91	.	G
171	to	X
182	Disp.	G
199	ma	I
294	dati	G
332	e	G
361	sarsi	I
369	sarà	I
383	Austria	G
388	conferenza	I
481	ha	G
662	alcun	G
791	quale	G
794	Sr	G
842	terra	I
921	ò	I
930	intelligenza	G
940	Sovrana	G
1000	qui	I
1043	desidera	G
1050	ciò	I
1111	detta	G
1112	di	G
1155	sud	X
1161	suo	G
1201	pa	I
1300	sono	I
1404	do	G
1409	ma	G
1418	per	G
1431	ritorno	I
1433	tra	G
1440	l	I
1480	me	G
1491	ro	G
1516	avere	G
1529	Duca	G
1530	due	I
1531	·	I
1535	gli	G
1542	te	I
1546	mesi	I
1549	mi	G
1551	più	G
1553	fatto	I
1557	sa	X
1564	va	I
1568	ve	G
1571	accordo	G
1589	è	G
1592	ebbe	G
1597	go	I
1605	Ministro	G
1606	enza	I
1609	pon	G
1611	por	I
1648	ed	G
1654	ha	G
1708	ele	G
1714	i	X
1720	mot	I
1725	na	X
1729	presso	G
1739	un	I
1741	avuto	G
1742	vo	G
1758	ber	X
1777	ride	I
1795	prima	I
1818	al	G
1820	Inghil	I
1821	alla	G
1823	bi	I
1831	cred	G
1836	ere	G
1843	il	G
1850	nel	G
1852	nella	G
1864	si	G
1893	Cuba	G
1894	cui	G
1898	da	X
1901	es	X
1909	in	G
1919	no	G
1920	non	G
1922	pu	I
1949	c	I
1951	ca	G
1963	dar	G
1968	essere	I
1980	nu	X
1994	zione	G
2009	car	X
2012	cas	X
2014	cat	I
2027	va	X
2035	o	I
2045	quella	G
2049	questo	G
2054	Spagna	G
2067	d'An	I
2076	ce	G
2082	del	G
2083	dell'	G
2084	della	G
2085	sione	I
2111	qui	G
2116	men	I
2123	ste	I
2142	ces	G
2151	de	I
2159	favore	G
2161	is	G
2162	Isola	G
2167	n	I
2169	one	X
2170	seg	I
2184	col	G
2186	sud	X
2201	che	G
2205	ci	G
2206	ia	I
2211	di	G
2221	fi	G
2230	l	G
2231	l'	G
2232	la	G
2234	flo	I
2236	ordini	G
2237	Conte	G
2242	Re	G
2268	ciò	I
2282	delle	G
2290	lan	X
2295	le	G
2316	stra	I
2318	ta	X
2320	Decazes	G
2352	fra	G
2353	Francia	G
2357	li	G
2361	troppo	I
2363	pa	I
2367	par	X
2369	no	I
2380	te	X
2381	te	G
2393	as	I
2403	confer	I
2422	gi	I
2426	lu	I
2431	pas	G
2445	ter	G
2448	ti	G
2449	quest	I
2450	to	G
2460	o	I
